# Z-Coordinate, Y-Displacement
1.285000e+00, 1.610811e-01
1.290000e+00, 1.631209e-01
1.295000e+00, 1.651227e-01
1.300000e+00, 1.670862e-01
1.305000e+00, 1.690108e-01
1.310000e+00, 1.708960e-01
1.315000e+00, 1.727413e-01
1.320000e+00, 1.745462e-01
1.325000e+00, 1.763102e-01
1.330000e+00, 1.780329e-01
1.335000e+00, 1.797137e-01
1.340000e+00, 1.813521e-01
1.345000e+00, 1.829477e-01
1.350000e+00, 1.844999e-01
1.355000e+00, 1.860082e-01
1.360000e+00, 1.874722e-01
1.365000e+00, 1.888913e-01
1.370000e+00, 1.902649e-01
1.375000e+00, 1.915926e-01
1.380000e+00, 1.928737e-01
1.385000e+00, 1.941078e-01
1.390000e+00, 1.952943e-01
1.395000e+00, 1.964326e-01
1.400000e+00, 1.975221e-01
1.405000e+00, 1.985624e-01
1.410000e+00, 1.995528e-01
1.415000e+00, 2.004927e-01
1.420000e+00, 2.013817e-01
1.425000e+00, 2.022193e-01
1.430000e+00, 2.030050e-01
1.435000e+00, 2.037383e-01
1.440000e+00, 2.044189e-01
1.445000e+00, 2.050463e-01
1.450000e+00, 2.056202e-01
1.455000e+00, 2.061403e-01
1.460000e+00, 2.066063e-01
1.465000e+00, 2.070180e-01
1.470000e+00, 2.073752e-01
1.475000e+00, 2.076777e-01
1.480000e+00, 2.079254e-01
1.485000e+00, 2.081181e-01
1.490000e+00, 2.082558e-01
1.495000e+00, 2.083385e-01
1.500000e+00, 2.083661e-01
1.505000e+00, 2.083385e-01
1.510000e+00, 2.082558e-01
1.515000e+00, 2.081181e-01
1.520000e+00, 2.079254e-01
1.525000e+00, 2.076777e-01
1.530000e+00, 2.073752e-01
1.535000e+00, 2.070180e-01
1.540000e+00, 2.066063e-01
1.545000e+00, 2.061403e-01
1.550000e+00, 2.056202e-01
1.555000e+00, 2.050463e-01
1.560000e+00, 2.044189e-01
1.565000e+00, 2.037383e-01
